trial_id,target_mode,target_value,P_surf_bar,T_surf_K,M_total_Mj,R_total_Rj,M_Z_total_Me,M_core_input_Me,Sigma_dilute,Z_base,Iron_Fraction,P_center_bar,T_deep,T_top,Delta_T,S_deep,S_top,Delta_S,dt_ds_total,DDC_Match_Ratio,Grad_Fuzzy,Grad_DDC,status
M1.0_T200.0_1463,mass,1.898e+27,1.0,200.0,0.9999991043739805,0.8071253118992475,104.92919685703399,68.42105263157896,0.03242105263157895,0.02,0.33,593604441.9089603,29026.68516099716,200.07348833918266,28826.61167265798,2254.972981542672,50585.58787573522,-48330.61489419255,-6449228648758.595,0.9526437335200657,-0.0007010781429746498,-0.0007359289924514921,success
M5.0_T200.0_2662,mass,9.49e+27,1.0,200.0,5.000000323821718,0.9917685538903759,93.88216011399673,68.42105263157896,0.006157894736842105,0.02,0.33,1987543514.660356,66266.1352360678,200.3307429036368,66065.80449316416,12879.503646699128,50585.58787573522,-37706.08422903609,-57760179945425.75,0.8519385203944739,-0.0009961723394301808,-0.0011693007365941408,success
M0.3_T500.0_624,mass,5.694e+26,1.0,500.0,0.3000015183777524,0.5567169942275212,76.81528876087017,57.89473684210527,0.085,0.02,0.33,321779664.97149616,39401.00976898066,500.50906848530695,38900.50070049535,2802.530738638484,61173.69258603222,-58371.16184739374,-87050084693.34587,0.5892904091346318,-0.0015240647631821129,-0.0025862711144751015,success
M5.0_T200.0_2441,mass,9.49e+27,1.0,200.0,4.999996150246191,1.0223478739646032,17.21025236093969,10.526315789473685,0.0035789473684210526,0.02,0.33,1109233645.2074175,60524.388798426255,200.89542929576984,60323.49336913048,28614.63238667487,50585.58787573522,-21970.955489060347,-53217404338854.37,0.6062976560499576,-0.0005141513090604959,-0.0008480179725750597,success
M1.0_T200.0_1313,mass,1.898e+27,1.0,200.0,1.0000000569409044,0.5997173807283817,239.45266896788428,26.315789473684212,0.1371578947368421,0.02,0.33,758462721.0309927,35116.197299520376,200.5646282202922,34915.63267130008,317.98522450077354,50585.58787573522,-50267.60265123445,-18051162809919.004,0.7809707657156171,-0.0010692901913456243,-0.001369180817371333,success
M0.3_T500.0_684,mass,5.694e+26,1.0,500.0,0.30000394207568304,0.45798058355266075,85.95808773664524,73.6842105263158,0.085,0.02,0.33,380491094.881193,35557.78353463615,500.62950661891875,35057.154028017234,2820.1721074662173,61173.69258603222,-58353.520478566,-80912274393.49763,0.6923857835817137,-0.0019587098290416204,-0.002828928431934591,success
M1.0_T200.0_1445,mass,1.898e+27,1.0,200.0,0.9999936155277778,0.7590618141497486,138.34668419970893,63.15789473684211,0.05336842105263158,0.02,0.33,664225966.1440337,31867.565438897705,200.15654791421014,31667.408890983494,784.2568695446953,50585.58787573522,-49801.33100619052,-8436310047018.933,0.9700937788649651,-0.0007607971813710743,-0.0007842511702953366,success
M1.0_T1000.0_2083,mass,1.898e+27,1.0,1000.0,0.999999800981722,1.3072578297874167,41.42975246547747,21.05263157894737,0.03242105263157895,0.02,0.33,159161274.21448463,71169.18715782661,1000.9107797146685,70168.27637811194,4450.6693369729155,69425.39456699316,-64974.72523002024,-9696791392.750286,0.013141529131023276,-0.0008766098761864343,-0.06670531773330828,success
M1.0_T200.0_1298,mass,1.898e+27,1.0,200.0,0.9999983306461807,0.5414426865986819,268.5772526308514,21.05263157894737,0.18952631578947368,0.02,0.33,811995324.6490974,34218.65063607206,200.59363752068893,34018.05699855137,284.2063073242226,50585.58787573522,-50301.381568410994,-21272765287244.805,0.44501180133774115,-0.0012452975278721117,-0.0027983471991723536,success
M1.0_T200.0_1236,mass,1.898e+27,1.0,200.0,0.9999995200578208,0.5737093890938393,253.98359367400988,5.2631578947368425,0.16857894736842105,0.02,0.33,670990258.2320431,36264.6264635441,200.32576921295845,36064.30069433114,104.58402254700442,50585.58787573522,-50481.00385318822,-22567146866231.223,0.5513403173047695,-0.0010520010268125436,-0.0019080792639204348,success
M0.3_T1000.0_1099,mass,5.694e+26,1.0,1000.0,0.2996691186984237,0.3547547317354351,93.89862767485351,73.6842105263158,0.4,0.02,0.33,384181052.23637104,46484.14079729123,1000.0030687721745,45484.137728519054,3585.575238540426,66335.35511916141,-62749.77988062098,-11326285038.975494,0.2987309690117372,-0.0041953108355401395,-0.014043776075239475,unphysical_radius
M1.0_T1000.0_2347,mass,1.898e+27,1.0,1000.0,0.9999844356610449,0.9071462835024722,179.3983740240307,89.47368421052633,0.07431578947368421,0.02,0.33,762308328.7708791,113378.81881839503,1000.7467958300507,112378.07202256497,4678.443954825082,69425.39456699316,-64746.950612168075,-28405979623.616745,0.09584185448994727,-0.0024735379859917046,-0.025808536355597655,success
M5.0_T200.0_2645,mass,9.49e+27,1.0,200.0,4.999999963177679,0.9702878944880851,148.57657866856127,63.15789473684211,0.013894736842105262,0.02,0.33,2459873177.5181885,72857.80706705608,200.57817024111196,72657.22889681497,1297.2348495226995,50585.58787573522,-49288.35302621252,-64477511962629.84,0.9238487883100535,-0.0012094097934377815,-0.0013090992906426703,success
M1.0_T200.0_1584,mass,1.898e+27,1.0,200.0,0.99999917548714,0.7276497321547623,154.325803115302,100.0,0.04289473684210526,0.02,0.33,823300480.0855603,30850.044728989713,200.24857314914036,30649.796155840573,1308.8000410324298,50585.58787573522,-49276.78783470279,-7818648675227.486,0.977499793638019,-0.0008683072907672235,-0.0008882940911277257,success
M1.0_T500.0_1721,mass,1.898e+27,1.0,500.0,1.0000000679535515,1.0627276896267581,37.20203713745283,31.578947368421055,0.011473684210526316,0.02,0.33,229199394.21016505,44976.087300789004,500.2831338151201,44475.80416697388,2763.738663860976,61173.69258603222,-58409.95392217125,-162940906475.2668,0.08784111784611204,-0.0007150216033317711,-0.00813994198689969,success
M1.0_T500.0_1673,mass,1.898e+27,1.0,500.0,1.0000043395268432,0.6827955073912313,229.5302358965486,15.789473684210527,0.1371578947368421,0.02,0.33,603994326.7164952,80740.0080104825,500.3852920294788,80239.62271845303,2913.104625792337,61173.69258603222,-58260.587960239885,-837661094406.7268,0.6133453979412564,-0.0019238064765277052,-0.003136579296078715,success
M5.0_T200.0_2512,mass,9.49e+27,1.0,200.0,4.999993006026322,0.9204797844851875,284.2187577457127,26.315789473684212,0.031947368421052634,0.02,0.33,3656222194.560062,89042.46876157666,200.75424553043035,88841.71451604622,1376.705200838241,50585.58787573522,-49208.88267489698,-85714049672618.52,0.9750307784568685,-0.0015585015322730298,-0.0015984126518955543,success
M0.3_T500.0_663,mass,5.694e+26,1.0,500.0,0.29999909081131926,0.5229662022206252,79.67484564728437,68.42105263157896,0.064,0.02,0.33,356536687.0357877,36102.981409254695,500.5205130018074,35602.46089625289,2824.7837310979057,61173.69258603222,-58348.908854934314,-70892394966.91682,0.5777954224309793,-0.0016068014960161625,-0.0027809176633068664,success
M1.0_T1000.0_2304,mass,1.898e+27,1.0,1000.0,0.9999838045458259,1.069930314284897,116.98524371907017,78.94736842105263,0.04289473684210526,0.02,0.33,574235866.3422686,95488.8100006338,1001.2982560840729,94487.51174454973,4623.874649119509,69425.39456699316,-64801.51991787365,-16129754448.350607,0.045857637922019814,-0.0019665890101553053,-0.0428846556270399,success
M5.0_T1000.0_3496,mass,9.49e+27,1.0,1000.0,5.000003762335,1.0992466434195947,416.5422082306739,73.6842105263158,0.04226315789473684,0.02,0.33,3116692102.669665,286202.5826480351,1000.6729204587634,285201.9097275763,5212.789144426481,69425.39456699316,-64212.605422566674,-281838403713.35065,0.12061659523176166,-0.004773432988933117,-0.03957525894145071,success
M0.3_T500.0_771,mass,5.694e+26,1.0,500.0,,,,94.73684210526316,0.232,0.02,0.33,,,,,,,,,,,,solver_returned_none
M5.0_T200.0_2713,mass,9.49e+27,1.0,200.0,4.999993765742378,0.8845531369617854,389.9370973715466,78.94736842105263,0.03452631578947368,0.02,0.33,4896396896.718207,93595.87760149674,201.0306955936438,93394.8469059031,1398.3578900938676,50585.58787573522,-49187.22998564135,-96773503312735.33,1.010877101459162,-0.0019306040675574946,-0.0019098306458527373,success
M5.0_T200.0_2660,mass,9.49e+27,1.0,200.0,4.99999979359226,1.00040241770773,70.41975858299764,68.42105263157896,0.001,0.02,0.33,1786870590.782455,63263.924908432244,200.38452146973626,63063.54038696251,44473.61896854863,50585.58787573522,-6111.968907186587,-55433977439508.94,0.7210101398205407,-0.0008976445791296005,-0.001244981907401502,success
M1.0_T200.0_1308,mass,1.898e+27,1.0,200.0,1.000006563529645,0.718572532512494,169.59572963863877,26.315789473684212,0.08478947368421053,0.02,0.33,578946681.1448843,34551.184266136464,200.21958656862833,34350.964679567835,261.3476561077165,50585.58787573522,-50324.2402196275,-12039375435161.656,0.962299981440294,-0.0007865704074716514,-0.000817385869938785,success
M1.0_T1000.0_2229,mass,1.898e+27,1.0,1000.0,0.999993090041919,0.8893862922752922,188.74960126586012,57.89473684210527,0.09526315789473684,0.02,0.33,657573036.0139241,119656.80071912927,1000.5669094976237,118656.23380963165,4661.102629256891,69425.39456699316,-64764.29193773626,-35691798839.94161,0.10335537048010654,-0.0024637687654388146,-0.023837839814168454,success
M5.0_T500.0_3071,mass,9.49e+27,1.0,500.0,4.99998415286528,1.009827507254694,296.5388028265261,68.42105263157896,0.02936842105263158,0.02,0.33,3022316702.4929996,167932.27649530416,500.3262979033748,167431.9501974008,3678.376546512391,61173.69258603222,-57495.31603951983,-3263666360042.0166,0.5338705998720755,-0.0030040939252034076,-0.0056270076043206715,success
M5.0_T1000.0_3370,mass,9.49e+27,1.0,1000.0,4.999999468561421,1.2107504109199256,194.6781854470727,42.10526315789474,0.026789473684210526,0.02,0.33,1687398799.4445226,227821.96103537388,1000.8953279569188,226821.06570741697,5179.0530283869,69425.39456699316,-64246.341538606255,-186653045425.22397,0.0562044236588867,-0.0032747269519894707,-0.05826457667930718,success
M5.0_T500.0_2805,mass,9.49e+27,1.0,500.0,,,,0.0,0.013894736842105262,0.02,0.33,,,,,,,,,,,,solver_returned_none
M1.0_T200.0_1296,mass,1.898e+27,1.0,200.0,0.9999988539491946,0.5620227301508122,259.4912478929671,21.05263157894737,0.16857894736842105,0.02,0.33,784429189.174824,35716.727261516644,200.59365237857213,35516.13360913807,96.53267730249901,50585.58787573522,-50489.05519843272,-21991013280373.766,0.5618164894047857,-0.0011739812692678317,-0.0020896169681876046,success
M1.0_T1000.0_2013,mass,1.898e+27,1.0,1000.0,,,,0.0,0.1371578947368421,0.02,0.33,,,,,,,,,,,,solver_returned_none
M0.3_T500.0_473,mass,5.694e+26,1.0,500.0,0.29999993804397923,0.48972845236597906,86.05162034694001,15.789473684210527,0.274,0.02,0.33,174686668.02957174,43322.23288223689,500.21087004697586,42822.02201218991,2364.372335074274,61112.37177235219,-58747.99943727792,-244505355067.16248,0.5567094915078867,-0.0016427529315631755,-0.002950826160900659,success
M5.0_T200.0_2639,mass,9.49e+27,1.0,200.0,5.000003396487215,0.8279369886495398,552.713370461304,57.89473684210527,0.05,0.02,0.33,7137676874.49776,109369.48403424745,201.32750367181987,109168.15653057562,1415.5413465002155,50585.58787573522,-49170.046529235005,-130873471700650.27,1.0223351154872173,-0.0023248566662857147,-0.0022740651583485426,success
M0.3_T500.0_427,mass,5.694e+26,1.0,500.0,0.3001887871325918,0.6809987047105415,66.94201895789095,5.2631578947368425,0.14800000000000002,0.02,0.33,85268999.08892345,43261.92162139292,499.97196096122957,42761.94966043169,2751.214718408144,61173.69258603222,-58422.47786762408,-129386545850.28336,0.43369528580888,-0.0009871393064040275,-0.0022761126041822787,success
M0.3_T200.0_332,mass,5.694e+26,1.0,200.0,0.2999985933471917,0.3018995972928663,94.27639382024051,84.21052631578948,0.253,0.02,0.33,426297972.05219764,11297.29491194341,200.0088149962613,11097.28609694715,66.40917127656226,50585.58787573522,-50519.17870445865,-1263582011561.203,0.5457818149789755,-0.002665082054386838,-0.0048830539626709656,unphysical_radius
M1.0_T1000.0_2004,mass,1.898e+27,1.0,1000.0,,,,0.0,0.04289473684210526,0.02,0.33,,,,,,,,,,,,solver_returned_none
M0.3_T500.0_488,mass,5.694e+26,1.0,500.0,0.3000015981929116,0.5807603256604488,77.00427165248776,21.05263157894737,0.169,0.02,0.33,182095302.3055477,45205.73909950861,500.5145164802324,44705.22458302838,2707.783748434362,61173.69258603222,-58465.90883759786,-163257321503.94693,0.5884476072812674,-0.0013872387712549445,-0.0023574550292832937,success
M5.0_T200.0_2657,mass,9.49e+27,1.0,200.0,4.999988930904727,0.8477703717596151,496.51050097504066,63.15789473684211,0.0448421052631579,0.02,0.33,6325786987.376659,104097.5105909289,200.12991052872042,103897.38068040018,1412.9369002241513,50585.58787573522,-49172.65097551107,-118068884814876.83,1.0297204441510772,-0.0021999592105619455,-0.0021364625933746875,success
M1.0_T1000.0_2085,mass,1.898e+27,1.0,1000.0,0.9994961539314424,1.214699957686936,73.71065403666937,21.05263157894737,0.05336842105263158,0.02,0.33,223334044.633585,85779.52641608416,1000.7133689723122,84778.81304711185,4531.078596541176,69425.39456699316,-64894.31597045198,-13278136964.607368,0.02897428698473528,-0.0012081689677972992,-0.04169797063285136,success
